motif	tau	std
ZN430.H14CORE.0.P.C	3.7942853178874896e-16	8.302111045713464e-05
ZN799.H14CORE.0.P.C	4.57359752784435e-16	0.00015099790790552855
ZN480.H14CORE.1.P.C	0.00024288283974560442	8.764280078875631e-05
NR1D1.H14CORE.0.P.B	0.000511337762265253	0.00033173789444597396
ZBED1.H14CORE.0.S.B	0.0006251131286557584	9.341036164710402e-05
ZN684.H14CORE.0.P.C	1.6068096886214488e-13	9.315259729135664e-05
ZN528.H14CORE.0.P.B	1.755225897423834e-05	0.00010926209369771453
ZN672.H14CORE.0.PSG.A	4.863102634428043e-05	0.00010825218322099403
SP5.H14CORE.1.P.B	1.397797557899529e-16	8.37789364143333e-05
ZN549.H14CORE.0.P.B	6.832197991833395e-17	0.00010945757862537459
ZFAT.H14CORE.0.PSGI.A	2.3763411867914774e-17	0.00010758847067614723
PRDM9.H14CORE.0.P.B	4.381542678811955e-15	0.00013095535954156756
ZN160.H14CORE.0.SG.A	0.0008769160543360369	0.0001141904364977141
ZFP1.H14CORE.0.PSM.A	1.9105538276445417e-09	0.0001189406167117693
ZNF66.H14CORE.0.PG.A	1.6366117309707444e-14	0.0001304035382785425
SMAD3.H14CORE.1.P.B	0.00021652406461338756	0.00013130319496436866
ZN880.H14CORE.0.P.C	7.550832364992526e-15	8.05301434982645e-05
TIGD5.H14CORE.0.PSGI.A	0.0002444970973958389	0.00010343021901773589
ZN730.H14CORE.0.P.C	5.0931280458790487e-05	8.465020221013344e-05
ZN213.H14CORE.0.P.C	3.208913105018634e-05	0.00010462999386167456
ZN410.H14CORE.0.SM.B	5.048765861011305e-15	7.031301570478895e-05
PRD15.H14CORE.0.P.B	0.0010327218820640185	7.338995386847796e-05
ZNF79.H14CORE.0.P.C	6.274481112488589e-15	9.897365738210494e-05
ZN776.H14CORE.0.P.C	5.106962289321938e-16	0.00014862584422973782
ZN454.H14CORE.1.SM.B	0.0008566609605443167	8.707519121589972e-05
ZN614.H14CORE.0.P.C	4.934793154993704e-20	7.375589038316765e-05
ZN805.H14CORE.0.P.C	1.3908777920380104e-11	0.00011619817529742056
CUX1.H14CORE.2.P.C	3.3182478733062576e-16	0.00010350392290911869
ZN257.H14CORE.0.P.B	1.8289856186443385e-14	8.166424368405266e-05
ZN788.H14CORE.0.S.C	0.00036425476235386916	0.00031187968062475896
GMEB1.H14CORE.2.SM.B	0.0014711667139068291	9.091097377224788e-05
ZBT14.H14CORE.1.S.B	2.217582641321535e-15	9.831970129942032e-05
ZN500.H14CORE.0.PSGI.A	2.6286896656315663e-18	8.791906984861421e-05
