	0
320	2.5048083349889505
321	2.136886912914689
322	2.527861840961807
323	1.9700326692527856
324	1.853827505718856
325	2.44151829041893
326	2.30710817903068
327	1.5644275130169847
328	2.4674047452295995
329	2.2610902575809275
330	2.2855912700137453
331	1.512495015482852
332	1.8593527380029753
333	2.1753707108939455
334	2.274304923083372
335	2.115366224850346
336	1.0883617075794492
337	2.2245735450001285
338	2.024302496238604
339	2.2171269843591306
340	2.589249423575015
341	2.1945790316665486
342	2.6405088897138995
343	1.708577303082042
344	2.0603224676854213
345	2.149259758528832
346	1.1267094737175847
347	1.8754241796382631
348	2.3028679093758617
349	2.4634074498238916
350	1.766623583026504
351	2.563785608057587
352	2.035030244315463
353	1.8417440857734573
354	1.8178986309840341
355	1.8999662223014977
356	1.8023094581064365
357	2.0890397439185158
358	2.524338912266659
359	2.1609856798863856
360	2.1088174282769954
361	2.3347750233503497
362	2.1516474432121306
363	1.126846118749601
364	1.6897681718991162
365	2.431347250720575
366	2.5445826987272295
367	2.253113968196985
368	2.1858021311500506
369	2.0988645019293837
370	2.4933126983145724
371	1.8406491165554584
372	2.449956506800444
373	2.0482665538932894
374	2.4121874536658026
375	2.088317944402928
376	1.8999522127289614
377	2.151209837577546
378	2.1605255333482116
379	2.156770066420081
380	2.0848267961515297
381	2.6790985634436555
382	2.1031208381251782
383	1.9721937159318235
384	1.74084681632166
385	1.6982359625188876
386	1.7230935133435323
387	2.5134049667814886
388	2.528282168373968
389	1.9003490140473507
390	2.580787429612965
391	2.2883913699956544
392	1.6309359757797743
393	1.7739959271353745
394	2.1107765387560087
395	2.0778991688590938
396	2.5825724662094585
397	2.00867937707744
398	2.446537854962486
399	1.7978678591571944
400	1.8710759121167901
401	2.2820962838236656
402	2.5563982330208526
403	2.5931629293761413
404	2.1865215986796427
405	1.877523909621383
406	1.9472557591693993
407	2.162775463354692
408	1.687614599885842
409	1.6165329597724747
410	2.078237171754986
411	2.1265463749659492
412	2.1614434061422143
413	2.1040602703232687
414	2.096052677860415
415	2.0757603757001593
416	2.228069560505036
417	2.517987847922246
418	2.1110496776396803
419	2.30090708046597
420	2.0538139727629843
421	2.190083773243568
422	2.624321299492642
423	2.2323287210444995
424	2.2964393755550137
425	2.521577768809004
426	1.6712736605367322
427	2.376881816625273
428	2.3299827492212697
429	1.9490845941546162
430	2.1474813474408716
431	2.0446306846525077
432	2.165912856303172
433	1.9583358075918804
434	2.008088518055113
435	2.2835934412255505
436	2.5818301005945035
437	2.157582361727269
438	1.9439760819889955
439	2.31353587413382
440	2.3023841455463785
441	2.2179152819304546
442	1.859297787000143
443	2.416830677402127
444	1.95121157538065
445	1.74685625107922
446	1.962059263895616
447	2.0747401128549847
448	2.548923644897292
449	2.212794396188387
450	2.217985206160732
451	1.6090410166173439
452	1.8289662604886807
453	2.2951570308551728
454	2.336578090514577
455	2.273420559072926
456	2.4199884820687716
