	sigma	sigma_std	nu	nu_std
CDX22P.2	0.5618852327575155	0.7999028227891389	0.06285065751422211	0.001712975911077604
CDX25	0.6734945989471657	0.9577364747913979	0.0410001276438991	0.0019400237365767218
CDX25.1	0.6815799922481555	0.9691706000416527	0.04655224116104276	0.0023582177161127096
CDX25.2	0.6770363306898601	0.9627450865599679	0.0467402986270976	0.0018322609223481807
CDX26	0.44092277189998397	0.6288457453226921	0.036219614736207134	0.0012460126829878604
CDX26.1	0.4368423401332612	0.6230755639718162	0.03305667300831965	0.0013118239524913147
CDX26.2	0.4286017093234144	0.6114224261582877	0.03492972977693192	0.0014738369599633454
CDX29	0.6429913508255625	0.9145997581796919	0.056156563182039064	0.0017227791208175804
CDX29.1	0.6438119224016816	0.9157601824887444	0.05851581232865877	0.002251558872277669
CDX29.2	0.7255509969048557	1.0313532370757104	0.08197050312265218	0.0020637074647339685
CDX30P	0.6459264252600238	0.9187504407039401	0.050533593460240375	0.0018422550079831952
CDX30P.1	0.6486651528593282	0.9226234573517534	0.04642954828004982	0.002218844087061927
CDX30P.2	0.6602635617192193	0.939025549806329	0.053039340395826785	0.002472192536382557
CDX32P	0.5327813883636742	0.758745695045774	0.0319606367608237	0.001701532082391935
CDX32P.1	0.5176692311485492	0.7373749621769603	0.026713166691894108	0.001760449304193606
CDX32P.2	0.5568665192070216	0.79280560730528	0.04577862170672058	0.0016112184943668515
CDX33	0.5125859143965824	0.7301864460702889	0.041046153360587374	0.0017300449342820222
CDX33.1	0.5034355776699256	0.7172466181441799	0.04236027605322859	0.0014896091601883511
CDX33.2	0.4825758671794669	0.6877482341788761	0.04088315948773006	0.0016679471067900086
CDX34	0.43534260018270654	0.6209547679791033	0.045783251850341614	0.001222900251011365
CDX34.1	0.4533632703677768	0.6464380317759942	0.04533632703677768	
CDX34.2	0.4085212539450905	0.5830266526499859	0.047274305141810836	0.0014467477011435763
CDX35	0.4000707830426452	0.5710769101186034	0.03543356960306473	0.001154197544369977
CDX35.1	0.4048097797387608	0.5777782816695759	0.029105219748094335	0.0011831377324591616
CDX35.2	0.41321424321389705	0.5896629891278113	0.03473493007373611	0.0012725224910568763
CDX38	0.4431356400733482	0.6319749886784889	0.03009495084065547	0.001370539422053824
CDX38.1	0.49019528583890776	0.6985230809569961	0.02915265498478704	0.0015375211113716227
CDX38.2	0.43599159767083334	0.6218725211346428	0.02964572438454526	0.0014143187792020771
CDX39P	0.41679344121157047	0.5947243264712548	0.014564560091246282	0.00116801235354811
CDX39P.1	0.4175383837010043	0.5957777491814902	0.01593737704351662	0.0012077358588755203
CDX39P.2	0.4443643648044803	0.6337125439945994	0.014835883820660579	0.001212810513296615
CDX40	0.39189407185226255	0.5595143315858815	0.024215538858844372	0.0012408404574401947
CDX40.1	0.47892243483527597	0.6825818139893427	0.0269291378000314	0.001698537832229394
CDX40.2	0.3954135584160328	0.5644911854132864	0.020965127858224207	0.0011230258676648043
CDX41P	0.4619842669896599	0.6586291454886403	0.057273923969385444	0.001267322099631426
CDX41P.1	0.4339545744581751	0.6189919490687035	0.049528593183491426	0.0013465879342456633
CDX41P.2	0.37990522708054897	0.5425611471862949	0.05157736536543235	0.0010064570804202537
CDX42	0.40695623325597596	0.5808135663051646	0.0406955239494239	0.0011712306898085973
CDX42.1	0.39649188991725615	0.5660160396397446	0.03211887358102063	0.001109971387874125
CDX42.2	0.4010760605506792	0.5724984626178897	0.03620353715809175	0.001258096761845579
CDX42P	0.3747937395648388	0.5353331269203382	0.032181877133291764	0.0011055476888335554
CDX42P.1	0.3709238577341248	0.5298608418817143	0.028893084492051736	0.001089065018480546
CDX42P.2	0.3857734655444085	0.5508592926737443	0.028029674938966506	0.001122525135191328
CDX45	0.33268937948785055	0.4757953018798046	0.02255291236688771	0.0009708289527156798
CDX45.1	0.32532357544377016	0.4653798407483779	0.017825525604339292	0.0010492216469758268
CDX45.2	0.31502899616080604	0.4508231139760863	0.020789127644131992	0.0008878513300125895
CDX46	0.4152779617054199	0.5925812887960564	0.031969005654732915	0.0013280536153018286
CDX46.1	0.42637230428624767	0.6082698136372191	0.03143153793676373	0.0014992407502501344
CDX46.2	0.4281472338890344	0.6107797500265058	0.04460740398079285	0.0011865220911054125
