	overall	ASCL1	ATOH1	NEUROD1	POU2F3
ZN124.H14CORE.0.P.C	1.628670451457359	1.055913929607127	2.929972410948881	0.7784190175794026	0.5519429637308785
ZN251.H14CORE.0.PSGI.A	1.8806906006185309	1.4136838105508645	1.3826844313990276	3.0899598471786662	0.8305531474844287
PO2F2.H14CORE.1.M.C	1.3463278480303207	0.5210738450505712	2.3836008886844766	1.130931836393468	0.13533931589268933
ZN627.H14CORE.0.P.C	1.8948069189361683	0.34352392764970363	3.26202988020942	1.896980843693132	0.06155558957425577
ZF64B.H14CORE.1.P.B	2.619532304469296	0.9215974919424543	0.33605616290867457	4.230349258305755	2.930813444694374
ZNF12.H14CORE.0.P.C	2.77499854018961	2.2085040997609946	2.790636712039155	4.084215975702682	1.2068570084276875
ZN526.H14CORE.0.S.C	2.920535802860069	0.05096004413691595	3.2506362073504205	4.218723353107364	2.3981780781377844
TEAD1.H14CORE.2.S.C	1.7021522648376788	1.0928675661456773	2.770535805010341	0.3205415075699048	1.6175024911002447
FWCH1.H14CORE.0.PSGB.A	2.0521765481576995	1.7950685514020222	3.147696856042613	1.9184817451478668	0.18674991564949772
CXXC4.H14CORE.0.PSGIB.A	1.076513857558784	0.7882412997178785	0.24143657051239922	1.9478039548199462	0.40245761452659184
ZN766.H14CORE.0.P.B	0.4660382509429712	0.3885227847750701	0.7783778853850998	0.1998182081592451	0.2683602099976981
TCF20.H14CORE.0.B.B	1.4554280282050103	1.2919800930803087	0.38829814969486354	1.9041323149417857	1.7399353707425675
ZSC25.H14CORE.0.PSG.A	2.456436425347146	1.2879105268178093	0.698747555239339	4.68871880555309	0.07262188720206693
GRHL1.H14CORE.1.PS.A	1.8210628010188494	0.8537206389215384	1.0774605454691646	3.0068298209245725	1.5278393805154602
ZNF26.H14CORE.0.P.B	3.338482330052307	0.6983461536802839	5.84612449632053	2.8588631719221853	1.3205678550055373
Z587B.H14CORE.0.SG.A	0.10845384096389953	0.10147664066239119	0.12031067671220139	0.12460941071436303	0.08215393909995147
BCL6.H14CORE.0.PSM.A	0.7665966951627521	0.7027011473359415	0.3387533787851374	0.9988149910619679	0.8628486725156965
ZN567.H14CORE.0.P.C	2.077652837241636	1.484447565882713	2.711319805824127	0.4227429069676179	2.744633676411509
SUH.H14CORE.0.P.B	2.3556429249946476	1.5803808209254113	4.221818621509319	0.13414571650023022	1.3626677052687026
SP100.H14CORE.0.PSGI.A	3.0477882212622975	2.3160412194957547	2.999448999468659	2.6906267916176825	3.9440890461642737
FOXK1.H14CORE.0.PS.A	3.522061078915062	1.5025204553954912	6.1499200055612855	1.1526697723980783	2.865645752103405
ZN749.H14CORE.0.P.C	3.1789099074291496	1.1826314196186114	1.7055519322321604	0.06417757254333596	6.009178776603112
ZFX.H14CORE.0.P.B	1.1279394301854362	0.27922524049345937	0.35189877909617645	0.010984439778624068	2.2106716827907587
SRF.H14CORE.0.PSM.A	0.9956052111673531	0.9529472939834019	1.2282559245818188	1.243640580236278	0.03944479462878018
ZN778.H14CORE.0.P.C	1.944829502203692	1.5207840745973664	2.7754712217287283	2.0486200493333726	0.9573809899112512
SPI1.H14CORE.0.P.B	2.4838327833553056	0.7865348635498352	2.415002636658441	1.6002190997354668	3.958045627437548
PO3F2.H14CORE.0.P.B	1.5478857785923155	1.0215694425045863	2.6790567876770504	1.0516862141605035	0.5067625121893816
Z705G.H14CORE.0.P.C	2.3049368543924618	0.7578164619435706	0.4321553093568457	3.5590119260917183	2.7970208650429123
ZN649.H14CORE.0.P.C	1.623953251246243	1.2523683394619909	0.391079012717197	2.80099994589207	0.9909221463722319
