	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
RLF.H14CORE.0.PSGI.A	4.3617849093521075	2.531407148682368	0.8842501902985027	5.147370243277155	4.889649486425296	7.1995536405145275	2.173343018749514
TIGD7.H14CORE.0.SGIB.A	2.6940844168100826	1.6054804129840214	4.420311432487976	0.060188446604727955	3.607688715811859	2.525801962394576	1.425871130290914
OLIG1.H14CORE.0.S.B	5.609355975356819	3.3965633671772606	0.7395325825124304	1.2837871427556777	1.9879534491642439	12.394555818383722	4.180982339450968
ZN124.H14CORE.0.P.C	3.125312916957573	2.0223722787113747	2.0248846908810156	0.4651871757281207	0.9893191779212666	6.68584468076318	2.1259507728996327
PRDM5.H14CORE.0.PSGI.A	5.109123523227841	7.053857571086858	0.07072987811144951	4.095523220995846	2.5074072841915993	9.060642177403373	1.3043432428962467
ZN251.H14CORE.0.PSGI.A	5.090248597481356	4.5012395262046025	5.389179469686641	1.9972440177180335	5.763707945955433	8.190113963867482	1.3682442700371376
GLI2.H14CORE.0.PSM.A	4.920984067293599	4.305534552393639	0.28430371867126597	1.379017524180921	0.3985867234388915	10.596340979530574	3.51212839948373
NANOG.H14CORE.2.M.C	4.778414800876611	9.845448743372913	3.987448423446327	0.9604051728641932	1.7187008495884282	4.468768134693288	0.5662886360343854
ZN627.H14CORE.0.P.C	4.528039852765902	5.579567350050756	0.1354555206241618	4.049119720155579	2.5893504358749198	7.493251997750898	3.5524664316332775
ZF64B.H14CORE.1.P.B	5.121058853759174	6.775081892515304	2.9266634713424913	1.8497888938842357	3.2899164401242835	9.274632315931072	1.6187326050221031
FOXR2.H14CORE.0.M.C	2.512730791568976	5.038584034085208	2.018941858383691	0.6432239761037829	1.4881106895594192	2.4040129148814393	0.10932651365720711
ZN841.H14CORE.0.PSGI.A	1.6631074381277138	2.3261483129836873	0.16218893102723206	0.8299200404313444	0.6787644470838531	2.6485463877206072	1.7303180242797163
TEAD1.H14CORE.2.S.C	5.073471850704329	3.2690204290037848	1.4273230109855333	1.8637613876678134	2.3294334752918124	11.133887824512383	2.975504875076782
FWCH1.H14CORE.0.PSGB.A	3.19992226400684	3.62916953414948	1.8451425219356108	0.32037035886184245	1.2633038758704929	6.5532262156250125	0.46716684116564905
ZN273.H14CORE.0.P.C	4.690697708261787	0.42631540186393113	3.5216009951434293	2.30486464855341	1.1846797638814124	9.850224990235708	3.961016536386502
CXXC4.H14CORE.0.PSGIB.A	4.965341174937697	2.3200551894530257	1.7192255223528268	3.2494261689701376	3.9052826106693823	10.394127888543835	2.3961193964791025
DACH2.H14CORE.0.S.B	3.0354942535407625	2.2905715340557786	2.1368770722760466	1.3173057702202242	2.662787621231364	5.516157519460348	2.4937250083942346
ZBTB2.H14CORE.0.SM.B	3.897504562319833	4.987704223731129	2.229212213480668	1.4396720492909774	1.253253399248172	7.424331578877913	1.5914368596668187
TERF1.H14CORE.0.PSGB.A	3.649365034622624	4.448285121024241	0.40110407565746725	1.332556881200165	1.1277569547271349	7.296604744729894	1.9160066666737632
TCF20.H14CORE.0.B.B	4.891827938941518	0.9179208182915763	4.834612623264251	0.2117128597989429	3.7263606578057296	9.303308018205808	4.345307755604281
GRHL1.H14CORE.1.PS.A	3.7754707050854495	3.3073122998277915	0.6196882846982702	2.8028745805100854	1.3515785170820442	7.718930299255385	2.222159014178764
ZNF81.H14CORE.0.P.C	2.469096973137563	4.647924316465392	0.3650419387689565	1.2961501218617222	0.8955425467556887	2.8381072981771815	2.0749285482815
ZNF26.H14CORE.0.P.B	5.336016033753193	2.6804294975308665	2.7333588984792407	0.9852490571869852	2.6495340565209133	11.68288932375095	3.4207894035341817
BCL6.H14CORE.0.PSM.A	5.164693797536497	4.116269379198927	0.27332051227912024	1.5393049380217767	0.48617665272747773	11.234224268389973	3.7699299843565814
SUH.H14CORE.0.P.B	1.9129873295061302	2.9753843227193815	1.3878656515780068	2.00444269473309	2.4175215533610546	1.1019915986054274	0.3185180396156763
SP100.H14CORE.0.PSGI.A	1.2297726254216592	2.4110062307233253	1.2114270636486322	0.49041774107941544	1.0476225627131857	0.18866476601131998	0.6480128838893201
FOXK1.H14CORE.0.PS.A	12.867307390431428	14.199340514169897	0.16358974335980042	1.973898596603232	0.6551342833870306	27.64805687726097	4.797607586123441
