	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
ZN263.H14CORE.0.PM.A	5.077776603671322	1.002309703491064	1.2024424183712854	0.059567925005942345	1.1225334064635224	11.717005849167425	3.701424489814765
ZFX.H14CORE.0.P.B	1.6216182028001638	2.629183366402591	2.035769285593659	1.261446646773661	0.44373190468458007	1.5085604686987868	0.8105624479151462
KAISO.H14CORE.0.P.B	4.470743840598433	3.801742230196633	0.08026311720282227	0.7560455968605134	0.6092836536783184	9.998864793267634	2.132015034522657
KLF3.H14CORE.1.M.C	2.7985549698721948	5.3427334600660625	1.7417234710295542	0.36108814208907625	2.1019141875614555	3.274396464252777	0.37809778919334114
ZN565.H14CORE.0.P.C	3.0280107118419015	2.9869361044524587	3.8068569030129145	0.05029759495724098	2.802399041116554	4.75876188903578	1.047550239286039
ZN282.H14CORE.0.P.B	1.3231376869191371	0.3390950950650271	0.8494742915597759	0.08174920976104386	0.5681459745391525	2.5940816731470284	1.6151889880497954
ZN707.H14CORE.0.P.B	3.183190119092233	1.8802697678985953	2.1057218873485994	3.4283870953226225	1.054050615670783	6.007324603142921	1.968224396629936
ZN823.H14CORE.0.P.C	1.8593711885703739	3.554625318482725	1.8887364915760978	2.010130628855614	0.2896672183637691	0.2511044042807089	0.5943861939823221
ZN574.H14CORE.0.P.B	2.70464839754644	4.722889416319417	2.294686815188688	0.7481023987774768	0.8388179861132837	3.8766482257123993	0.16670761445577417
ZNF76.H14CORE.1.SM.B	8.5093303360508	0.41721571017899245	0.15531664193420655	1.4211209913961618	1.3809201814649745	20.046028356636917	5.33706343463043
ZN322.H14CORE.0.P.C	5.234793183484437	6.714744170615028	1.3945887018862293	0.003497724344215618	0.44649150869309184	10.531231172887821	2.505891897245112
ZBT16.H14CORE.0.P.B	4.09593183723647	7.332414421476272	1.8257039091996343	0.6184431796050396	2.5454046172921445	5.9888650418446865	0.9134487165804027
ZN208.H14CORE.0.SGI.A	4.50046736589935	4.512668905563061	2.648478977478545	1.2271138031315578	1.6065809242434168	9.216747397387996	2.260812770782116
IRX3.H14CORE.0.M.C	4.193612012938502	1.972953038981963	4.437847159264133	1.9247044643360867	2.414013519031685	8.103162112481066	2.5957801180192805
Z286B.H14CORE.0.PSG.A	2.764854400659085	4.510336789598257	4.219983570286755	1.5128252740343302	1.7651840143001079	1.3478349361234145	0.702812864735201
ZN516.H14CORE.0.S.C	4.013577883246521	7.530941590258244	3.460080541597222	2.241618253274281	0.47321868459597793	3.6555550745206062	3.058387604502752
NR6A1.H14CORE.2.SM.B	1.7893736663158246	0.7389256369752901	2.5183073823213005	0.7504328488772233	1.5217747807866904	2.741340544975326	1.3890174980020729
SRF.H14CORE.0.PSM.A	4.370559545866342	0.6923869424873479	3.3799182020648826	0.32287009029000113	2.562440390119546	9.283516459544828	3.139024375541607
ZN317.H14CORE.1.P.B	6.982216665715517	7.65085859651246	0.8937153342748245	3.332092555134802	1.0458572805574897	14.404915462224576	3.670897072693524
ZN177.H14CORE.0.SM.B	5.460429485187233	8.354936672334851	1.598192649535809	0.026578902397019977	2.153552772025671	9.89487279538656	1.997886587277538
ZNF83.H14CORE.0.G.C	4.892019363108594	2.9120210098581403	1.700913963508205	0.005495529340480722	1.6410721965846562	10.905868042322293	3.2537732110999236
ZN320.H14CORE.0.P.B	2.3840860248589446	3.9145819667393567	0.9951371529418013	0.26316649928653013	1.1143112827535655	4.0018667383632165	0.680487680449688
TZAP.H14CORE.0.P.B	2.3805095098309415	3.2942344313423173	3.2342476191437712	0.7063152375286929	1.7926877987174636	2.2358370826135845	1.9942509344034933
RUNX1.H14CORE.0.P.B	1.4849999844384818	0.47160894991685576	0.3386041279048391	2.8822001586624624	2.007527259200925	0.6457167742979976	0.3742837987134399
HXD10.H14CORE.0.SM.B	2.9289257731326632	3.8969492164282946	3.740468483296858	1.6948162086145568	1.1439451108755394	4.206895399866004	0.6444673258389404
P73.H14CORE.0.PS.A	4.450542236782401	1.981679199972826	7.342245197121817	0.5144172530760239	6.293477799448601	3.995008934164055	2.2750287724721043
ZN275.H14CORE.0.SG.A	2.7533520230181328	0.8884540275934733	1.6241641011662562	1.406645170164152	2.1623229575473015	5.630911795258034	1.9227495249838769
ARNT.H14CORE.0.P.B	2.539164281248735	4.771470871846034	0.8200636629733739	0.11160915284897789	0.16662612336694962	3.893066180397381	0.220244495663668
ZIM3.H14CORE.0.P.B	1.9966181606512596	4.519383149511942	1.0053606006328863	0.0011318900230342342	1.1417446489593464	0.9583199805143323	0.5112447335687703
TCF20.H14CORE.0.B.B	5.003618963100611	1.882308639354555	1.368284866367467	3.7551412082844835	1.9763730365797627	10.707240103550319	3.485656404341827
