	CDX08.1	CDX20P.1	CDX03P	CDX17.2	CDX20P.2	CDX03.1	CDX17P.2	CDX17.1	CDX08P	CDX42	CDX08	CDX20.2	CDX42P.1	CDX42P.2	CDX17P.5	CDX03.3	CDX03P.2	CDX42.2	CDX42.1	CDX17	CDX18P.1	CDX08P.1	CDX03	CDX18.1	CDX08P.2	CDX42P	CDX03P.3	CDX17P.3	CDX20P	CDX20	CDX03P.1	CDX17P	CDX18	CDX17P.1	CDX18.2	CDX08.2	CDX20.1	CDX18P	CDX03.2	CDX17P.4	CDX18P.2
PAX7.H14CORE.2.PM.A	-0.0011028063624154176	0.00018687451813895932	8.242992980936337e-05	-0.0007866764980993812	0.00020676188163439707	0.0012170301435387098	0.00016379276291609234	-0.00040809055266873625	-0.00030920121090759894	-0.00029050218619171113	-0.0010966048778351866	7.556252952771003e-05	0.00020770856675068872	0.0004492320700864752	-0.0005578799132390127	-0.0006897011788063994	0.00025306540125006336	-0.00028486019174991765	5.5487812150013804e-05	-0.00011744857563439673	0.0011481879651504589	-0.0006609071902147472	0.000797884227034279	0.0006703344476905767	-0.000595683310987076	-0.00012417099895770198	-0.0006614257543756472	-0.0008731138032415437	1.106106638849348e-05	-0.0002238163808446253	0.000417444078230854	0.0002295699789559495	0.0009617223029441636	0.00045275033684607135	0.0007580490566073787	-0.00072335614877131	-4.336728341701175e-05	0.0007357101006182356	0.0004857068139286838	-0.0004206167957617084	0.000934638448907372
PAX8.H14CORE.0.PSM.A	0.00033052389759864655	0.0001353191447975399	-0.0005178918593079446	0.0004082391775243765	4.853205078976671e-05	-6.500317932154514e-05	0.0006951907430788359	0.0006742076389696218	0.0007438815551283032	-0.00017468271107380726	0.0006027957784571313	-0.0002313112392123549	-0.0005895859578660388	-0.0005566771692230984	0.0006991769161697314	-0.0016058325696646607	-0.00011828793375307954	-0.0005284555791795721	-0.0004993659486779729	0.000238540523362232	0.00028784589818965124	0.000606159961433617	-0.0003889709551114749	-0.0003977841277625761	0.0007063668965400416	-0.0007131136503789567	-0.0014057427682066803	0.0004266021750233041	9.737785844220897e-05	-0.00029554079619213735	-0.0008194959527958769	0.0008481328897422871	-0.00022042296954670514	0.0009146817545285576	-0.0004921564312678436	0.0005493378447494375	-0.0005461012730754986	0.00019037721615225173	-0.0005341677543457112	0.00045151779137308666	0.00022854265751374482
PF21A.H14CORE.0.B.B	0.023230082986362692	0.010586005946877123	-0.007329287562308946	-0.023473641546362608	0.006651144250181493	-0.013279431516038127	-0.0037884835672437707	-0.022178671147367823	0.02087877731410375	-0.017478939436786196	0.022846213150064153	0.005220912183195476	-0.00450100047031814	-0.00434852247204766	0.0035813874941651403	-0.0022002986213464013	-0.0013419751244933067	-0.015630714381756713	-0.017775916672210616	-0.018313145978323123	-0.01666184921347135	0.01935678174352721	-0.011049436427718657	0.004932473569662433	0.023618388492270145	-0.0005368468409345849	0.01841992799804708	-0.002551741373634141	0.007905409300786486	0.008819802838453334	0.004985964748190888	-0.004980714484131009	0.0034801788460241947	0.00242190794825925	0.004168102322767919	0.030721931049161037	0.0075666025423292305	-0.018541592022950134	-0.010442567375588088	0.0019443428181764636	-0.0157483169138442
PIT1.H14CORE.0.SM.B	-0.002978653074924606	-0.008830226998300515	-0.009841107684538976	0.0052520928709183946	-0.009317503413563431	-0.007846628310448932	0.00475023453285129	0.005730247098929598	0.0026407080767541363	0.00028847712104831946	-0.0008961053745211479	-0.007001243764962972	-0.0005445533784607035	9.268659044905925e-05	0.0012743705307635294	-0.015287023756452744	-0.008214433998438707	0.00010269224603351446	0.0005153779374631046	0.006121626748839256	0.016722584038414798	0.0028135723096860757	-0.00796423386988191	0.014003247345249804	0.0050130435188509865	-0.0011908799799717137	-0.015501194798196269	-0.002560558091935979	-0.006885344751771435	-0.006216393902720049	-0.00961453753142135	0.001023544575017547	0.012551684621463478	0.0012542427646887663	0.01401958650242504	0.002162360438819254	-0.006091031517560894	0.018008208554950167	-0.007393718652946787	0.0005035739144966609	0.016168386357090003
PITX2.H14CORE.0.SM.B	0.0035836148227062457	-0.00042162610415870275	-0.0031416155529454155	-0.0016301503449343497	0.00036867497897187735	-0.004532039276828754	0.0026362714084833625	-0.0013274354751874567	0.00358322600738766	0.0018821196721421594	0.0022194845728323205	0.001982496729741991	-0.0010173655935561505	-0.0014852244627705314	0.004339804646282091	0.00840571648792484	-0.004711635400097533	0.0012329738493589565	0.001138966977579859	-0.0026270511002410056	-0.002873228984793922	0.004790251663431364	-0.004139908136440138	-0.004862361630923218	0.003879702143763422	-0.0005342542468677368	0.002695836001353688	0.004346875779316082	-0.0004497834962125149	0.001339547153976941	-0.004800933592461308	0.0007081959948117851	-0.004716311251028527	-1.830992551066419e-05	-0.004717596495040468	0.0020173932130287276	0.0027139718386010045	-0.0042658885645543605	-0.00469610552980243	0.0033287319322871933	-0.0025300201702115194
PO2F2.H14CORE.0.PSM.A	0.0020767997930024873	-0.0020330088657425256	0.0010701560747326325	-0.000977877268672362	-0.0013509086475261643	-0.0020633306594886013	0.0027891208987306532	-0.0012818273699065422	0.007696363689390626	-0.015720461686530886	0.00419450978816825	-0.006176436829731315	-0.010143740960493532	-0.008678597718397884	0.007095912895160419	-0.00801063150060985	0.004267347985582972	-0.01635765203804142	-0.015713167461392518	-0.002335558931383009	0.004964128335410385	0.004368998107291737	0.0008022655129026404	0.010579487053440566	0.0059097137629618044	-0.011524189156803425	0.002453625166155632	0.004959671043710396	-0.005118025347269662	-0.004841354268026831	-0.0007701032792596062	0.00251414761195235	0.010362580779598866	0.0033253468968525964	0.011257426226062529	0.0048071923565874905	-0.0032369155603984533	0.005860804086533118	0.00029673178686307616	0.005349000095184983	0.005169635270071762
PO3F2.H14CORE.2.SM.B	-0.0020234431905663056	0.00032226912697226433	0.0019096339896622974	0.0008711445099327132	-0.0021371818105055448	0.005309989462439725	0.0032771302661448454	0.0014928552452448222	0.00031254802913121757	-0.009255358867221786	-0.0015695246146319739	-5.040401257323107e-05	-0.005612281346894184	-0.006047823009627572	0.0010164981028903015	-0.0002804626611148664	0.0033914947864189526	-0.00811341159439135	-0.0076885945407717884	0.0017493116285682078	0.00233973981344502	0.0002536621692505493	0.004535723425252339	-0.0014391600180884076	0.0015421256633668858	-0.007831584584995081	0.002238166974433131	0.0013929860513538245	-0.0007433247234491678	-0.002058861556625614	0.0009395245364416036	0.007178627733065029	-0.00019068942008113043	0.005139226358098505	-0.00010212810664671917	-0.00030051142768428366	-0.0017297655800167198	0.002171140195906557	0.0036336553218720494	0.0022098373278191296	0.0013052576296559565
PO4F1.H14CORE.1.SM.B	-0.0053504684206694825	-0.007968010952247468	0.010069543439630346	0.00996562310147551	-0.00917975967810242	0.00716156016018364	0.015119441382105539	0.015488944960708463	-0.0028095806093723225	-0.014684218768523466	-0.003024230052481024	-0.006175700848583196	-0.015514490254509634	-0.013218556857874906	0.012295737941096365	-0.016357897704585872	0.01403731669481658	-0.011151148649080539	-0.009389327793219548	0.005968220906000661	0.000978332192019954	-0.0036021892926252352	0.0066930305989809855	-0.010088073495160717	-0.005602525517533062	-0.01789870492879414	0.0012912441077173181	0.009019458376598788	-0.005539898404876244	-0.009725137384542993	0.01623967406816406	0.015323881316961267	-0.006489779959499283	0.013071045730211287	-0.009434586229793287	0.0015768809248330948	-0.0061743070498839585	0.003456574520894873	0.006406610230043901	0.013597411275821421	0.0003325095574880227
POGK.H14CORE.0.SI.A	-0.0007799760528728467	0.0022598075067782586	-0.004469268684155538	-0.003111238157504712	0.002519415371830374	-0.002394378534439485	0.00023300588019207168	-0.0021177684422277222	-0.0004032710827087671	0.003943700135030818	1.9712211078334353e-05	0.0028151619605518144	0.00248742239478032	0.002070996801854813	-0.0019208469889658627	-0.00730349060451306	-0.002563537292217411	0.00400339139140668	0.004099543296867552	-0.004765153576988603	0.0037069331177455207	0.0006793501778225505	-0.0029459011517498426	0.0009355661541085268	-0.0006932029120344865	0.003351850225805607	-0.00651117533521435	-0.001578893147296824	0.0027334487066593724	0.0022556580966073127	-0.0030389652752740998	0.0007207213627865469	0.00041898038524862576	0.0010794353711974227	0.0014596728871959595	0.0013069433147788814	0.00015088963996606752	0.004148006993583937	-0.003380181811340848	-0.0018321350870433148	0.0039040389257375026
PRD10.H14CORE.0.PSGI.A	0.001336562381024406	-0.011326493177442528	-0.006109133505642933	0.012519795722842373	-0.01545803317726232	0.0031855715928685996	0.016009397927781055	0.014801900287911549	-0.0025481533620818272	-0.009003834058682277	0.00390712678482848	-0.012521801791530358	-0.017064394361007866	-0.016477436982966755	0.016006831134973094	-0.0020172549111419774	-0.00029343289025918554	-0.011375399985310002	-0.012140092257245834	-0.0012311374918480547	0.010573815514080258	0.0003302044190444109	2.63528234033944e-06	0.0029282375586535715	-0.0021770586306618135	-0.017107794556475778	-0.012075484980098514	0.014924604967410876	-0.010760815942620062	-0.012322896479171586	-0.0017091372366198308	0.021032389755679195	-0.0008913270198578176	0.021723409623031337	-0.00012078474792947408	0.0037846362049604454	-0.010334092377909578	0.009369633357228936	-0.00766885363138721	0.01544566166471724	0.009746206594619139
