	ASCL1	ATOH1	NEUROD1
ELYS.H14CORE.0.B.B	-4.422591209116423	4.277686106585908	3.5242429640674713
ETV7.H14CORE.1.P.C	2.9311084127992553	-1.4593143389725298	-3.8177737396054634
FEZF1.H14CORE.0.P.B	2.7582489227003855	-1.6327726018530662	-3.0866396421232345
FOSB.H14CORE.1.M.C	1.6192834830615555	-2.567546517714454	0.18886732009030993
FOXH1.H14CORE.0.P.B	0.4826999492682211	-4.17921208295605	4.136427614871025
FOXK1.H14CORE.0.PS.A	2.342158679962371	-2.694020847636019	-1.1171466465666422
FWCH1.H14CORE.0.PSGB.A	-1.032699177117053	1.755958859180005	-0.36869830622812166
GABPA.H14CORE.0.PSM.A	1.759280704938733	-0.6191827693507552	-2.7249038810193396
GATA1.H14CORE.1.PSM.A	1.3946236936355219	-3.3943433395220666	1.7000836960947874
GCM1.H14CORE.0.S.B	0.2821112084417294	-0.6505564747782149	0.030095832888765404
GFI1B.H14CORE.0.PSM.A	4.0688671958533424	-6.018411379458546	-0.4046600937164525
GLI3.H14CORE.1.M.C	2.4911050112542115	-2.453724641740197	-0.8612315381020612
GLIS1.H14CORE.0.P.B	1.2115413472596317	-2.081979599052621	0.3050591005071029
GLIS3.H14CORE.1.S.C	-1.7793918427435702	1.490890928442113	1.347399023289154
GMEB2.H14CORE.0.P.C	-5.362003646462751	6.774715433710829	1.7059226685746285
GRHL1.H14CORE.0.PSM.A	-2.89792338934101	3.07025099961785	1.2241728279515132
GRHL1.H14CORE.1.PS.A	0.9517462487452789	0.11691372354825119	-1.9014150944246067
GRHL2.H14CORE.0.P.B	2.2566879456480184	-3.2771680707325443	0.33637001951641443
GTD2A.H14CORE.0.PS.A	-2.157844262178256	2.7531178566160626	0.7567266605287708
HAND1.H14CORE.1.P.B	-1.607712788656337	1.3158044389187604	1.2773927481653926
HEY1.H14CORE.0.S.B	-0.4617815331277715	0.5476748081754325	-0.0681445629167209
HIC1.H14CORE.0.PSM.A	-4.571741405419593	5.0325014777574495	2.6148475494958467
HIC2.H14CORE.0.P.B	1.8234042012841059	-1.4446866943751133	-1.4440872500344686
HINFP.H14CORE.1.P.B	-1.2411474575819543	1.258812492046746	0.43582310855510953
HM20A.H14CORE.0.SB.A	-2.530493737167705	5.195451410770036	-1.7131414455213765
HMBX1.H14CORE.0.PSM.A	4.003937259996963	-3.360010613284299	-3.29545578788132
HNF1A.H14CORE.0.PS.A	2.8967728852675774	-3.1588492514555906	-1.3488450511741596
HOMEZ.H14CORE.0.S.B	-1.5368050030388696	1.8296180743651362	0.4325406718596147
HSF1.H14CORE.2.P.B	0.22370678363443003	-1.739196185734758	1.6256926814438888
HSF2.H14CORE.0.PSM.A	1.2947068084879578	3.5138977203539055	-6.726806310007203
HSF5.H14CORE.1.S.C	2.467813033821891	-2.4614645309006904	-1.9354891280606634
IRF3.H14CORE.1.SM.B	4.177345632525245	-5.476269046512263	-1.1575582110215434
IRF4.H14CORE.1.S.B	1.9563418372291692	1.6257751885688285	-5.825116257580634
IRF7.H14CORE.0.S.B	-0.5039376238342543	2.106825235763161	-1.7602143568657984
IRF9.H14CORE.0.PSM.A	4.745468369326718	-4.935247060779425	-3.2223060669759493
IRX2.H14CORE.0.S.B	-3.6818093623877863	4.006364396677373	1.848278447516034
IRX3.H14CORE.0.M.C	1.1912375692841417	-0.7935406977033762	-0.6044115968317398
JERKY.H14CORE.0.PSGB.A	3.389741089482797	-4.509763690531079	-0.9306748614610952
KAISO.H14CORE.0.P.B	-1.5732298379104064	2.251543567472294	0.30331220452764385
KLF10.H14CORE.1.PSM.A	0.00898058874218832	-0.3775871149224838	0.40830037674787767
KLF16.H14CORE.0.SM.B	3.480850443519639	-3.338678347561788	-2.629009985812612
KLF16.H14CORE.1.P.B	2.6597887354394683	-2.730350231128818	-2.0477566160811604
