motif	tau	std
ZN483.H14CORE.0.P.C	0.0002581136309882597	0.00020991705900946813
ZN302.H14CORE.0.P.B	2.7329140725121524e-13	0.0002483221632198897
ZN773.H14CORE.0.PG.A	2.1498377039571422e-05	0.00020126156426279575
RARG.H14CORE.0.P.B	0.0015911370914676085	0.0002816403501350097
STF1.H14CORE.0.PSM.A	0.0008912811840359193	0.0002887003233498284
ZN730.H14CORE.0.P.C	0.00036189905907605747	0.0001664458225266143
CASZ1.H14CORE.0.SGI.A	5.470686923618922e-15	0.00026701879369659683
MYPOP.H14CORE.0.PSGB.A	0.00037643046520905414	0.00015803350697317372
ZF69B.H14CORE.0.P.C	0.00020445040400644964	0.0002660985731007359
CGBP1.H14CORE.0.PSGIB.A	0.0016966415999963263	0.00042045723965029863
NR1I2.H14CORE.0.M.C	6.570581608720154e-12	0.0003321997269017801
ETV7.H14CORE.1.P.C	0.0013227730111297854	0.00019721016782528407
ZN134.H14CORE.0.P.C	7.72531017309786e-16	0.00018610521986929608
MBD1.H14CORE.0.PSIB.A	0.003063659413467446	0.00015483799087146383
ZN335.H14CORE.0.PSG.A	0.000912970330931611	0.00021359225156673795
THA.H14CORE.2.S.B	6.270326598908541e-05	0.00017123199081177476
ZN749.H14CORE.1.P.C	0.0004912486834686513	0.0002915543803312181
ZN664.H14CORE.0.P.C	7.715133899283942e-17	0.0002320158883107002
DPF1.H14CORE.0.SM.B	0.0008021964110495254	0.00020677659161616783
HSF2.H14CORE.0.PSM.A	0.0003905507437008127	0.00019572637917696849
BARX1.H14CORE.0.P.C	0.0006440560733671889	0.00014850150234693198
MYCN.H14CORE.1.M.C	0.0008988762852449971	0.00039016566143683227
MEF2D.H14CORE.1.M.C	4.639221586211836e-05	0.0001782268013154002
ZN208.H14CORE.0.SGI.A	0.0010465406748144	0.00033555647010069886
ZN772.H14CORE.0.PG.A	8.440346655652192e-06	0.0003411969412941657
RLF.H14CORE.0.PSGI.A	0.0010531558477426463	0.00020953480507344475
TIGD7.H14CORE.0.SGIB.A	4.787858564632583e-16	0.00031080121932922506
ZN480.H14CORE.0.P.C	0.001969211542120595	0.0001523676601213354
OLIG1.H14CORE.0.S.B	0.0012240269048999157	0.0001747652948032298
ZN766.H14CORE.1.P.B	0.00036746403009725424	0.0002418755084397829
ZN124.H14CORE.0.P.C	0.00016685200185604366	0.00017112023234762972
PRDM5.H14CORE.0.PSGI.A	1.0719211341313189e-17	0.000207030757594804
ZN251.H14CORE.0.PSGI.A	0.00014658396519772238	0.00048181011831763054
GLI2.H14CORE.0.PSM.A	3.3017305536173315e-14	0.000405979934230897
NANOG.H14CORE.2.M.C	4.3908761709378455e-18	0.0003229054495674703
PO2F2.H14CORE.1.M.C	0.00014760371650114336	0.00017126487166828697
ZN627.H14CORE.0.P.C	0.00018231131300809746	0.00043752553581046026
ZF64B.H14CORE.1.P.B	0.0010320217036386896	0.00022704730512874025
FOXR2.H14CORE.0.M.C	4.331046874276798e-13	0.00027749503925831453
ZNF12.H14CORE.0.P.C	0.0007176123801158083	0.0003078133303763542
ZN233.H14CORE.0.PG.A	2.3072692697048478e-17	0.00023769602843160158
ZN526.H14CORE.0.S.C	0.0005926596696989099	0.00017781676969331377
ZN841.H14CORE.0.PSGI.A	3.086730860777256e-14	0.00017217720937930483
ZN136.H14CORE.0.P.B	1.530201292801461e-15	0.00022423012279647867
TEAD1.H14CORE.2.S.C	0.0002636573751896425	0.00020956341502263937
FWCH1.H14CORE.0.PSGB.A	0.000123453225575915	0.00024486915416910266
ZN273.H14CORE.0.P.C	1.991669313332441e-19	0.0004205379728758622
ZN222.H14CORE.0.P.C	3.384569758489623e-15	0.0001800549453677893
CXXC4.H14CORE.0.PSGIB.A	0.0015525666930656476	0.00024980239362901836
DACH2.H14CORE.0.S.B	3.930283299244043e-16	0.0004672689464894869
ZBTB2.H14CORE.0.SM.B	7.781559834687659e-14	0.00019287175290408362
ZN766.H14CORE.0.P.B	5.564539017386205e-05	0.00018589133465184016
TERF1.H14CORE.0.PSGB.A	1.756826608355313e-17	0.00013542829864277302
TCF20.H14CORE.0.B.B	0.00026924991248814564	0.000247381479199502
ZSC25.H14CORE.0.PSG.A	0.0011927818602147618	0.00015842267491350952
GRHL1.H14CORE.1.PS.A	0.0003727366285994388	0.00022022542964370123
TIGD4.H14CORE.0.SGI.A	1.336283385759738e-14	0.0003387708966864675
ZNF81.H14CORE.0.P.C	8.7751233767068e-14	0.00021569906706946974
ZNF26.H14CORE.0.P.B	0.000891979978460755	0.0002837924788665328
ZN394.H14CORE.0.P.C	5.164390669729337e-17	0.0001417135453442301
