motif	tau	std
NR1I2.H14CORE.0.M.C	1.2255704884457795e-13	0.0002478928845775042
NR1I3.H14CORE.0.P.B	1.046264675690519e-12	0.00023441798180711413
NR1I3.H14CORE.2.M.C	7.095640777216751e-16	0.00026431364870879693
NR2C1.H14CORE.0.S.C	0.0006072467383093818	0.00030511905272476576
NR2E1.H14CORE.0.SM.B	0.0006487034147554271	0.00039642483104645364
NR2E1.H14CORE.1.S.B	1.0184717713524563e-15	0.0006925493222527109
NR6A1.H14CORE.2.SM.B	0.0006560370563366498	0.0013897261832200157
NRF1.H14CORE.0.PS.A	0.002692726090252284	0.00032115584808490254
OLIG1.H14CORE.0.S.B	0.0003117605953869838	0.00030398187805994907
ONEC2.H14CORE.3.P.B	7.276510348876184e-15	0.0004467609220930361
OSR1.H14CORE.0.SM.B	5.217463066966974e-17	0.0004680556182182102
OZF.H14CORE.0.P.B	7.655204767893358e-16	0.0003651007089734242
P63.H14CORE.1.PS.A	9.632947593980751e-14	0.00021373116769377986
P73.H14CORE.0.PS.A	1.2577422912969897e-16	0.0007472374144107817
PATZ1.H14CORE.0.P.B	7.627117371668224e-15	0.00024094514675487242
PAX7.H14CORE.0.P.B	0.0011733975637264068	0.0002690332317556695
PAX7.H14CORE.2.PM.A	5.087505996873331e-05	0.0002578990464673995
PAX8.H14CORE.0.PSM.A	4.514805108940382e-05	0.0002945432826654871
PF21A.H14CORE.0.B.B	0.0023478601167408577	0.000300266640098702
PIT1.H14CORE.0.SM.B	0.000913756704513135	0.0002409002669239609
PIT1.H14CORE.1.S.B	1.7417311373135103e-14	0.00038035289151366116
PITX2.H14CORE.0.SM.B	0.00030407500418810706	0.0007825513291123814
PKNX1.H14CORE.1.P.B	3.036724690362327e-18	0.0003314572666330183
PO2F2.H14CORE.0.PSM.A	0.0007384689103873736	0.0002816730181131741
PO2F2.H14CORE.1.M.C	1.3456406427272278e-13	0.0002685036459454127
PO3F2.H14CORE.0.P.B	1.027884331011643e-15	0.0003912684147004212
PO3F2.H14CORE.2.SM.B	0.000342454426677269	0.0004952113727317818
PO4F1.H14CORE.1.SM.B	0.0012446846545435327	0.0003904172187910202
POGK.H14CORE.0.SI.A	0.00024262184037389696	0.0010314235650270482
PRD10.H14CORE.0.PSGI.A	0.0013011308816454643	0.0002729947223854582
PRD14.H14CORE.0.P.B	0.00024375691633628187	0.0005102379589943872
PRD15.H14CORE.0.P.B	0.00023135939790145334	0.00024201808950376853
PRDM1.H14CORE.0.S.B	4.1101954738897795e-05	0.00039920832929693625
PRDM4.H14CORE.0.PSM.A	2.495746292473101e-15	0.0006582096997479077
PRDM5.H14CORE.0.PSGI.A	3.1177134331707924e-14	0.00046417707185571905
PRDM6.H14CORE.0.P.B	0.0022781797922969715	0.00024141487689662816
PRDM9.H14CORE.0.P.B	0.0003226796715167088	0.00038795083865476854
PROX1.H14CORE.0.SM.B	0.00014323080477604146	0.0006573462572985717
PURB.H14CORE.0.B.B	0.00010625697029585852	0.0005132315463971153
RARA.H14CORE.1.P.B	0.0005938418232833945	0.0003520042960723497
RARG.H14CORE.0.P.B	0.0007711196846679607	0.0006748529746242832
RBAK.H14CORE.0.P.C	0.0001364790055683975	0.00045409302117999887
REL.H14CORE.0.P.B	0.00033382000045387416	0.00024718269356483483
REST.H14CORE.0.P.B	0.007359394182374761	0.00040593939079891733
RFX1.H14CORE.2.S.C	0.002087028975731142	0.0006088144347327731
RFX3.H14CORE.2.S.B	2.3955955827618592e-05	0.0005946734864505198
RFX4.H14CORE.0.SM.B	0.009978893927804364	0.00044428344493444407
RLF.H14CORE.0.PSGI.A	2.83813801054167e-16	0.0004917535040783078
RUNX1.H14CORE.0.P.B	1.0061307416532642e-14	0.000362667196898701
RXRG.H14CORE.1.SM.B	0.0009879077985870148	0.0007873122878329454
RXRG.H14CORE.2.P.B	1.2688981080734524e-13	0.0003582106871825262
S2A4R.H14CORE.0.PSG.A	0.00021369817091491792	0.0002685962325242157
SALL3.H14CORE.0.PSG.A	2.3336263701180892e-14	0.0003105810677285512
SATB1.H14CORE.0.P.B	6.200276359914895e-14	0.0007337664121918119
SCRT1.H14CORE.0.PSM.A	0.0006949438931504145	0.0005677974500001996
SETBP.H14CORE.0.B.B	1.2553122766709974e-14	0.00027957848847962985
SIX1.H14CORE.0.P.B	0.004988432121973734	0.00023867276405685706
SIX6.H14CORE.0.SM.B	2.268910134447456e-15	0.00024719899720676715
SMAD3.H14CORE.1.P.B	0.00021332013883100477	0.00024075403262103386
SMAD4.H14CORE.1.P.B	0.0014932163144025477	0.0004398816312762259
SNAI1.H14CORE.0.PSM.A	0.004525181502263815	0.0002161773680631886
SOX10.H14CORE.1.PSM.A	0.0017161563892948296	0.000647621484921197
SOX10.H14CORE.2.S.C	4.754427542527514e-16	0.0007714893484510406
SOX2.H14CORE.3.S.B	1.452519581148317e-15	0.00037190739162365087
SOX30.H14CORE.0.P.C	0.0006037086655214012	0.00030663625266163835
SOX7.H14CORE.1.SM.B	1.0090332497957323e-15	0.00030878992405489365
SOX9.H14CORE.2.S.B	0.0009849307211532998	0.0006579693039610549
SP1.H14CORE.2.P.B	0.0020477680420427423	0.00030949143786694746
SP100.H14CORE.0.PSGI.A	0.001297128333454015	0.0004145260226251303
SP140.H14CORE.0.PSGIB.A	0.0012704765355662508	0.00022505598801376742
SP5.H14CORE.1.P.B	0.0006599980499786654	0.0003927440045387821
SP7.H14CORE.0.P.B	2.548832401035176e-15	0.00038980072689563243
SPDEF.H14CORE.0.PSM.A	2.1461201465796246e-12	0.00024208079648913193
SPI1.H14CORE.0.P.B	0.0005099255046094078	0.00030652602007424104
SRBP2.H14CORE.0.S.B	0.0005933258175130431	0.0003924118997181531
SRBP2.H14CORE.1.P.B	3.0160338527274086e-16	0.0006756364120146842
SRF.H14CORE.0.PSM.A	0.0006442759053075847	0.00020130856202188216
