	mean
LYPLA2	1.623369922233247
CLCN6	0.3436943523992308
MRC2	-0.9414722748664272
TSPAN9	0.11306049022751341
BTBD7	0.3640490577559755
APBA3	-1.5574527139483703
MKS1	1.297409207674317
ABHD5	-0.7121115472426864
AKAP8L	1.7424873273465071
MBTD1	-0.332326556659186
UTP18	0.5613039562173697
RNF216	0.14972608413435076
TTC19	0.6663502008631567
PTBP1	1.88084330676498
DPF1	-0.7444545929747176
SYT7	3.1467698795285193
LARS2	-0.05906752840810724
PIK3C2A	1.5554126328542257
PLAUR	-2.173276423953274
ANLN	2.479931466711158
WIZ	1.453995200491498
RABGAP1	0.01349940919720139
DCN	-2.2547826398950694
QPCTL	-1.9053370159632779
PPP5C	3.339302538334484
CEP68	1.7470272719438271
MAP4K3	-0.12966311592261895
GABRA3	-2.403439193623247
BRCA1	1.7333240384145772
ERCC1	0.6584473454846561
SEMA3B	0.0017929109989162455
MBTPS2	-0.5782202625478146
PRICKLE3	-1.238304752939073
EXTL3	-0.7323476269944402
ELOVL5	1.66180004913432
ALOX5	0.848330992917201
KDM5D	-6.774880398358229
CALCOCO1	1.4181985979023837
UBR7	2.029350562614969
MAP4K5	0.11435793495739782
PSMC4	1.7119094949819236
MAN2B2	1.4742355944884018
SLC7A14	2.629012867029464
CLDN11	0.03971072393275165
SLC25A39	3.191950069644193
MVP	-1.2756934495566976
NUB1	2.5102320656879082
PGM3	0.3444292979736017
RWDD2A	-0.24137633700849823
CLK1	0.2535120469889655
POLR3B	-0.31082996097773113
ANGEL1	-0.5688669126147351
RNF14	0.22735137581010953
DNASE1L1	0.8018651112415375
DDX11	1.488293645612883
HEBP1	0.9607325216014754
GPRC5A	-3.4160879262475112
TACC3	0.9088033268087858
UFL1	1.8562220535073894
POLA2	0.19875453422030703
ZC3H3	0.5257698127498861
CAPN1	1.837446613034558
MDH1	2.3729354976135593
SLC30A9	1.0565737160835742
MTMR11	-1.593701306604208
COX15	-0.5030020321619482
CCDC88C	2.950237289227681
YAF2	-0.08273862914304213
ZMYND11	0.2494012317764847
BID	1.8210154718940728
MATR3	2.04920127523784
NPC1L1	-1.8276233521872904
XYLT2	0.3228330429602744
RGPD5	-2.3059180501687364
STMN4	-0.8065005874032943
NUDCD3	0.7735779453680132
ISL1	2.710154859682602
CHDH	0.869502267072499
GLT8D1	0.15918585362672935
ATP2C1	3.9052629645713974
RALBP1	0.4852167908170538
RUFY3	0.1780440433965242
CNTN1	-2.9339979352234713
WWTR1	-2.673421557872565
AGPS	2.824353741204327
TTC27	0.6600036323722883
ZNF582	-3.2108946295486844
VSIG2	-2.7989349296986923
PHLDB1	1.6060931317073712
PRDM11	-0.9028586093816264
SYT13	4.526292957125078
SNAI2	-2.7668126447116315
CD74	-2.827986393085829
HGF	-3.72272918780804
ZRANB1	3.3399497562408182
NCDN	-0.3114078257375185
ZFP64	0.0672658651094739
MNAT1	1.2267847725155618
RUNX3	-2.2428894216367166
PLEKHB1	1.6557846210297456
SERPINB1	-0.19430992217539467
CYP3A43	-4.763305154991048
SPAST	0.7201692641112166
NRXN3	1.1761837379431257
OSBPL5	-2.5534242716964717
AQR	0.04788421639021199
CPS1	-1.620663269689412
FHL1	-3.5434693100257513
NLRP2	-5.6139221452366295
SLC45A4	0.10817100311489491
RNF10	0.1424659828981446
ZNF839	-2.6704030876854157
ZDHHC6	-0.3331173867858284
GRAMD1B	0.5525486505074001
RNH1	-0.6891425795888417
NDUFS1	-0.28522864441939255
RB1CC1	0.7562411775970692
ERP44	1.2261110737646395
ALAS1	-0.1889151809587662
BIRC3	-3.6793641800075476
AKAP11	1.0552833510285675
GLRX2	-1.8306867367936541
SNAPC1	-0.0954506611528078
DERA	1.042450061811566
STRAP	3.5189871372415844
DEF6	-2.2414275894233686
PLEKHO1	1.340703960024883
GCLM	0.8579551803103662
UBR2	0.9534155375761424
EHD2	-5.2362634726653905
DEPDC1	1.875731966741567
